Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
RW,Dominik Kubalik (13628207),Dominik Kubalik,13628207,W/UTIL,4100,PHI@CHI 10/24/2019 08:30PM ET,CHI,10.71,0
RW,Tyler Toffoli (13628050),Tyler Toffoli,13628050,W/UTIL,4000,LA@STL 10/24/2019 08:00PM ET,LA,8.11,0
D,Ryan Suter (13627908),Ryan Suter,13627908,D/UTIL,4000,MIN@NSH 10/24/2019 08:00PM ET,MIN,6.72,0
RW,Zach Parise (13627916),Zach Parise,13627916,W/UTIL,4000,MIN@NSH 10/24/2019 08:00PM ET,MIN,6.22,0
C,Nick Bonino (13628008),Nick Bonino,13628008,C/UTIL,4000,MIN@NSH 10/24/2019 08:00PM ET,NSH,8.28,0
LW,Jason Zucker (13628054),Jason Zucker,13628054,W/UTIL,4000,MIN@NSH 10/24/2019 08:00PM ET,MIN,7.44,0
RW,Corey Perry (13627920),Corey Perry,13627920,W/UTIL,4000,ANH@DAL 10/24/2019 08:30PM ET,DAL,6.5,0
D,Esa Lindell (13628152),Esa Lindell,13628152,D/UTIL,4000,ANH@DAL 10/24/2019 08:30PM ET,DAL,6.46,0
RW,Ondrej Kase (13628257),Ondrej Kase,13628257,W/UTIL,4000,ANH@DAL 10/24/2019 08:30PM ET,ANH,7.2,0
D,Brad Hunt (13628126),Brad Hunt,13628126,D/UTIL,3900,MIN@NSH 10/24/2019 08:00PM ET,MIN,8.63,0
D,Vince Dunn (13628285),Vince Dunn,13628285,D/UTIL,3800,LA@STL 10/24/2019 08:00PM ET,STL,6.78,0
RW,Mats Zuccarello (13628018),Mats Zuccarello,13628018,W/UTIL,3800,MIN@NSH 10/24/2019 08:00PM ET,MIN,3.02,0
D,Alec Martinez (13627967),Alec Martinez,13627967,D/UTIL,3700,LA@STL 10/24/2019 08:00PM ET,LA,7.78,0
LW,Calle Jarnkrok (13628052),Calle Jarnkrok,13628052,W/UTIL,3700,MIN@NSH 10/24/2019 08:00PM ET,NSH,6.53,0
D,Robert Hagg (13628191),Robert Hagg,13628191,D/UTIL,3700,PHI@CHI 10/24/2019 08:30PM ET,PHI,7.27,0
LW,Sammy Blais (13628253),Sammy Blais,13628253,W/UTIL,3600,LA@STL 10/24/2019 08:00PM ET,STL,7,0
RW,Kevin Fiala (13628219),Kevin Fiala,13628219,W/UTIL,3600,MIN@NSH 10/24/2019 08:00PM ET,MIN,3.81,0
C,Tyler Bozak (13627982),Tyler Bozak,13627982,C/UTIL,3500,LA@STL 10/24/2019 08:00PM ET,STL,4.6,0
LW,Jordan Greenway (13628281),Jordan Greenway,13628281,W/UTIL,3500,MIN@NSH 10/24/2019 08:00PM ET,MIN,4.71,0
C,Nolan Patrick (13628375),Nolan Patrick,13628375,C/UTIL,3500,PHI@CHI 10/24/2019 08:30PM ET,PHI,0,0
LW,Jason Dickinson (13628183),Jason Dickinson,13628183,W/UTIL,3500,ANH@DAL 10/24/2019 08:30PM ET,DAL,2.03,0
